STATION;NAME;LATITUDE;LONGITUDE;DATE;PRCP;PRCP_ATTRIBUTES;SNOW;SNOW_ATTRIBUTES;SNWD;SNWD_ATTRIBUTES;TAVG;TAVG_ATTRIBUTES;TMAX;TMAX_ATTRIBUTES;TMIN;TMIN_ATTRIBUTES;TOBS;TOBS_ATTRIBUTES
USC00044881;LEE VINING, CA US;37.9567;-119.1194;22/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;14.4;,,0;-2.2;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;23/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;13.9;,,0;-4.4;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;24/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;11.7;,,0;-3.3;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;25/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;15.6;,,0;1.1;,,0;3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;26/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;9.4;,,0;-5.0;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;27/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.0;,,0;-5.0;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;28/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;11.7;,,0;-1.7;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;29/03/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;17.2;,,0;4.4;,,0;9.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;30/03/2010;0.0;T,,0,0900;0.0;T,,0,;0.0;T,,0,;;;18.3;,,0;1.1;,,0;4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;31/03/2010;6.4;,,0,0900;51.0;,,0,;51.0;,,0,;;;7.8;,,0;-3.9;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;01/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;2.2;,,0;-8.3;,,0;-2.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;02/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;4.4;,,0;-6.1;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;03/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.0;,,0;0.0;,,0;4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;04/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;9.4;,,0;-5.6;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;05/04/2010;17.3;,,0,0900;203.0;,,0,;203.0;,,0,;;;6.1;,,0;-5.0;,,0;-3.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;06/04/2010;0.0;T,,0,0900;0.0;T,,0,;127.0;,,0,;;;2.2;,,0;-10.0;,,0;-3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;07/04/2010;0.0;,,0,0900;0.0;,,0,;76.0;,,0,;;;8.3;,,0;-4.4;,,0;3.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;08/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-1.1;,,0;5.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;09/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;17.2;,,0;-1.7;,,0;2.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;10/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-1.7;,,0;5.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;11/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;15.0;,,0;3.3;,,0;6.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;12/04/2010;13.5;,,0,0900;127.0;,,0,;127.0;,,0,;;;8.9;,,0;-6.7;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;13/04/2010;0.0;T,,0,0900;0.0;T,,0,;0.0;,,0,;;;5.0;,,0;-5.0;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;14/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;10.0;,,0;-2.2;,,0;4.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;15/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.8;,,0;-1.7;,,0;5.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;16/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;16.7;,,0;2.8;,,0;9.4;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;17/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;17.2;,,0;-1.1;,,0;6.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;18/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;20.0;,,0;-0.6;,,0;6.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;19/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;20.6;,,0;1.1;,,0;7.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;20/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;20.0;,,0;5.0;,,0;7.2;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;21/04/2010;7.1;,,0,0900;3.0;,,0,;0.0;,,0,;;;8.9;,,0;-3.9;,,0;0.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;22/04/2010;2.8;,,0,0900;38.0;,,0,;25.0;,,0,;;;5.0;,,0;-1.1;,,0;-0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;23/04/2010;3.6;,,0,0900;3.0;,,0,;0.0;T,,0,;;;2.2;,,0;-0.6;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;24/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;13.9;,,0;-0.6;,,0;7.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;25/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;18.9;,,0;1.1;,,0;8.9;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;26/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;16.1;,,0;0.0;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;27/04/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;21.1;,,0;8.9;,,0;11.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;28/04/2010;0.0;T,,0,0900;0.0;T,,0,;0.0;T,,0,;;;12.8;,,0;-5.6;,,0;;
USC00044881;LEE VINING, CA US;37.9567;-119.1194;29/04/2010;0.0;T,,0,0900;0.0;T,,0,;0.0;T,,0,;;;7.2;,,0;-7.2;,,0;1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;30/04/2010;0.8;,,0,0900;3.0;,,0,;0.0;T,,0,;;;7.2;,,0;-3.3;,,0;0.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;01/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;T,,0,;;;10.6;,,0;-1.7;,,0;6.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;02/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;T,,0,;;;17.8;,,0;-1.1;,,0;8.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;03/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;T,,0,;;;16.1;,,0;0.0;,,0;8.3;,,0,0900
